,id,RA,Dec,Vls,Glon,Glat,SGL,SGB,velocity_observed,distance_observed
0,27,6.1965,-20.7324,16092,77.93223,-81.17223,274.47665,1.29298,16092.0,[219.99]
1,76,9.8597,6.734,12139,117.59732,-56.01341,301.90532,5.54791,12139.0,[160.54]
2,119,14.0672,-1.2561,13460,125.69723,-64.10191,295.32585,-0.64141,13460.0,[180.51]
3,147,17.1579,2.2684,13163,131.62935,-60.31268,299.55862,-2.65912,13163.0,[176.03]
4,151,17.213,-15.4072,16064,142.85777,-77.60009,282.44606,-7.34966,16064.0,[221.26]
5,168,18.7404,0.4311,13597,135.48169,-61.86612,298.21982,-4.68236,13597.0,[183.11]
6,189,20.8597,1.7049,9720,139.16446,-60.15442,300.03383,-6.37126,9720.0,[122.56]
7,193,21.2814,8.6992,14676,136.93612,-53.2541,306.89548,-4.80156,14676.0,[200.24]
8,194,21.4952,-1.3394,5495,142.18039,-62.91303,297.25757,-7.8141,5495.0,[71.35]
9,195,21.7281,19.2139,12841,134.38872,-42.86731,317.09141,-2.12047,12841.0,[172.24]
